SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
TIL,TIL Ltd,EQ,27-SEP-1995,10,1,INE806C01018,10
TIMESGTY,TIMES GUARANTY LIMITED,EQ,11-JUN-2002,10,1,INE289C01025,10
TIMETECHNO,Time Technoplast Limited,EQ,13-JUN-2007,10,1,INE508G01011,10
TIMKEN,Timken India Limited,EQ,06-FEB-2007,10,1,INE325A01013,10
TINPLATE,The Tinplate Company of India Limited,EQ,27-JAN-2006,10,1,INE422C01014,10
TIPSINDLTD,TIPS Industries Limited,EQ,10-NOV-2000,10,1,INE716B01011,10
TIRUMALCHM,Thirumalai Chemicals Ltd,EQ,14-MAY-2003,10,1,INE338A01016,10
TITAN,Titan Industries Ltd.,EQ,24-SEP-2004,10,1,INE280A01010,10
TNPL,Tamil Nadu Newsprint & Papers Ltd,EQ,14-FEB-1996,10,1,INE107A01015,10
TODAYS,Todays Writing Products Limited,EQ,08-OCT-2001,10,1,INE944B01019,10
TOKYOPLAST,Tokyo Plast International Ltd,EQ,11-OCT-1995,10,1,INE932C01012,10
TORNTPHARM,Torrent Pharmaceuticals Ltd.,EQ,25-NOV-2002,5,1,INE685A01028,5
TORNTPOWER,Torrent Power Limited,EQ,28-NOV-2006,10,1,INE813H01021,10
TRENT,Trent Ltd.,EQ,07-JUN-2004,10,1,INE849A01012,10
TRICOM,Tricom India Limited,EQ,20-DEC-2006,10,1,INE771B01024,10
TRIGYN,Trigyn Technologies Limited,EQ,09-APR-1998,10,1,INE948A01012,10
TRIVENI,Triveni Engineering & Industries Limited,EQ,13-DEC-2005,1,1,INE256C01024,1
TTKPRESTIG,TTK Prestige Ltd.,EQ,22-DEC-1999,10,1,INE690A01010,10
TTL,T T Limited,EQ,22-FEB-2007,10,1,INE592B01016,10
TTML,Tata Teleservices (Maharashtra) Limited,EQ,20-OCT-2000,10,1,INE517B01013,10
TUBEINVEST,Tube Investments of India Ltd,EQ,10-MAY-1995,2,1,INE149A01025,2
TULIP,Tulip IT Services Limited,EQ,05-JAN-2006,10,1,INE122H01019,10
TV-18,Television Eighteen India Ltd.,EQ,27-DEC-2006,5,1,INE889A01026,5
TVSELECT,TVS Electronics Limited,EQ,26-DEC-2003,10,1,INE236G01019,10
TVSMOTOR,TVS Motor Company Limited,EQ,02-AUG-2000,1,1,INE494B01023,1
TVSSRICHAK,TVS Srichakra Ltd,EQ,13-FEB-2007,10,1,INE421C01016,10
TVTODAY,TV Today Network Limited,EQ,16-JAN-2004,5,1,INE038F01029,5
UCALFUEL,Ucal Fuel Systems Ltd,EQ,13-SEP-1995,10,1,INE139B01016,10
UCOBANK,UCO Bank,EQ,09-OCT-2003,10,1,INE691A01018,10
UFLEX,UFLEX Limited,EQ,23-AUG-1995,10,1,INE516A01017,10
ULTRACEMCO,UltraTech Cement Limited,EQ,24-AUG-2004,10,1,INE481G01011,10
UNICHEMLAB,Unichem Laboratories Ltd,EQ,07-FEB-2001,5,1,INE351A01027,5
UNIONBANK,Union Bank of India,EQ,24-SEP-2002,10,1,INE692A01016,10
UNIPHOS,United Phosphorous Limited,EQ,23-JAN-2004,2,1,INE628A01036,2
UNIPLY,Uniply Industries Limited,EQ,08-MAR-2007,10,1,INE950G01015,10
UNITECH,Unitech Ltd,EQ,08-SEP-1999,2,1,INE694A01020,2
UNITY,Unity Infraprojects Limited,EQ,12-JUN-2006,10,1,INE466H01010,10
UNIVCABLES,Universal Cables Ltd,EQ,17-MAY-1995,10,1,INE279A01012,10
UPERGANGES,Upper Ganges Sugar & Industries Ltd,EQ,29-MAR-1995,10,1,INE018B01012,10
USHAMART,Usha Martin Limited,EQ,11-OCT-2000,1,1,INE228A01035,1
UTISUNDER,UTI Mutual Fund,EQ,16-JUL-2003,100,1,INF789F01042,100
UTTAMSTL,Uttam Galva Steels Limited,EQ,25-MAY-1995,10,1,INE699A01011,10
UTTAMSUGAR,Uttam Sugar Mills Limited,EQ,10-APR-2006,10,1,INE786F01031,10
UTVSOF,UTV Software Communications Limited,EQ,17-MAR-2005,10,1,INE507B01022,10
VAIBHAVGEM,Vaibhav Gems Limited,EQ,05-APR-2004,10,1,INE884A01019,10
VAKRANSOFT,Vakrangee Softwares Limited,EQ,03-APR-2006,10,1,INE051B01013,10
VALECHAENG,Valecha Engineering Limited,EQ,11-SEP-2006,10,1,INE624C01015,10
VARDHACRLC,Vardhman Acrylics Limited,EQ,30-SEP-2003,10,1,INE116G01013,10
VARDMNPOLY,Vardhman Polytex Limited,EQ,12-MAY-2003,10,1,INE835A01011,10
VARUNSHIP,Varun Shipping Co. Ltd.,EQ,01-APR-2003,10,1,INE702A01013,10
VDOCONAPPL,Videocon Appliances Ltd.,EQ,31-JUL-1996,10,1,INE352A01017,10
VENKEYS,Venky's (India) Limited,EQ,28-JUL-2003,10,1,INE398A01010,10
VENUSREM,Venus Remedies Limited,EQ,20-DEC-2006,10,1,INE411B01019,10
VESUVIUS,Vesuvius India Ltd,EQ,04-OCT-2002,10,1,INE386A01015,10
VHL,Vardhman Holdings Limited,EQ,30-JUN-2005,10,1,INE701A01023,10
VICEROY,Viceroy Hotels Limited,EQ,21-AUG-2007,10,1,INE048C01017,10
VIDEOIND,Videocon Industries Limited,EQ,31-JUL-1996,10,1,INE703A01011,10
VIJAYABANK,Vijaya Bank,EQ,10-JAN-2001,10,1,INE705A01016,10
VIKASHMET,Vikash Metal & Power Limited,EQ,28-NOV-2005,10,1,INE158H01013,10
VIMTALABS,Vimta Labs Limited,EQ,15-DEC-2005,2,1,INE579C01029,2
VINDHYATEL,Vindhya Telelinks Ltd.,EQ,08-FEB-1995,10,1,INE707A01012,10
VINYLCHEM,Vinyl Chemicals (India) Ltd.,EQ,25-MAY-1995,10,1,INE250B01011,10
VIPIND,VIP Industries Ltd.,EQ,02-MAR-2005,10,1,INE054A01019,10
VISAKAIND,Visaka Industries Ltd.,EQ,28-AUG-1996,10,1,INE392A01013,10
VISASTEEL,Visa Steel Limited,EQ,17-MAR-2006,10,1,INE286H01012,10
VISESHINFO,Visesh Infotecnics Limited,EQ,14-JAN-2000,10,1,INE861A01017,10
VISHALRET,Vishal Retail Limited,EQ,04-JUL-2007,10,1,INE945H01013,10
VISUINTL,Visu International Limited,EQ,29-DEC-2006,10,1,INE965A01016,10
VIVIMEDLAB,Vivimed Labs Limited,EQ,17-AUG-2005,10,1,INE526G01013,10
VLSFINANCE,VLS Finance Ltd.,EQ,25-MAY-1995,10,1,INE709A01018,10
VOLTAMP,Voltamp Transformers Limited,EQ,20-SEP-2006,10,1,INE540H01012,10
VOLTAS,Voltas Ltd.,EQ,12-APR-1995,1,1,INE226A01021,1
VSNL,Videsh Sanchar Nigam Ltd.,EQ,12-APR-1995,10,1,INE151A01013,10
VSTIND,VST Industries Ltd.,EQ,05-SEP-2003,10,1,INE710A01016,10
VTL,Vardhman Textiles Limited,EQ,14-JAN-2003,10,1,INE825A01012,10
WALCHANNAG,Walchandnagar Industries Ltd,EQ,18-SEP-1996,10,1,INE711A01014,10
WANBURY,Wanbury Limited,EQ,29-JAN-2007,10,1,INE107F01022,10
WEBELSOLAR,Webel-SL Energy Systems Limited,EQ,15-MAY-2007,10,1,INE855C01015,10
WELGUJ,Welspun Gujarat Stahl Rohren Limited,EQ,24-MAY-2005,5,1,INE191B01025,5
WELSPUNIND,Welspun India Limited,EQ,04-DEC-2003,10,1,INE192B01023,10
WENDT,Wendt (India) Ltd.,EQ,07-AUG-2006,10,1,INE274C01019,10
WHEELS,Wheels India Ltd,EQ,07-APR-2000,10,1,INE715A01015,10
WILLAMAGOR,Williamson Magor & Co Ltd,EQ,08-FEB-1995,10,1,INE210A01017,10
WINSOMYARN,Winsome Yarns Ltd,EQ,26-MAR-2002,10,1,INE784B01019,10
WIPRO,Wipro Ltd,EQ,08-NOV-1995,2,1,INE075A01022,2
WOCKPHARMA,Wockhardt Limited,EQ,23-FEB-2000,5,1,INE049B01025,5
WSTCSTPAPR,West Coast Paper Mills Ltd,EQ,17-JAN-2001,10,1,INE976A01013,10
WWIL,Wire and Wireless (India) Limited,EQ,10-JAN-2007,1,1,INE965H01011,1
WYETH,Wyeth Limited,EQ,08-JUL-1998,10,1,INE378A01012,10
XLTL,XL Telecom Limited,EQ,28-DEC-2006,10,1,INE183H01011,10
XPROINDIA,Xpro India Limited,EQ,27-APR-2004,10,1,INE445C01015,10
YESBANK,Yes Bank Limited,EQ,12-JUL-2005,10,1,INE528G01019,10
ZANDUPHARM,Zandu Pharmaceutical works Ltd.,EQ,03-FEB-1999,100,1,INE719A01017,100
ZEEL,Zee Entertainment Enterprises Ltd,EQ,09-SEP-1998,1,1,INE256A01028,1
ZEENEWS,Zee News Limited,EQ,10-JAN-2007,1,1,INE966H01019,1
ZENITHBIR,Zenith Birla (India) Limited,EQ,30-APR-2007,10,1,INE318D01020,10
ZENITHCOMP,Zenith Computers Limited,EQ,10-MAY-2000,10,1,INE598B01013,10
ZENITHEXPO,Zenith Exports Ltd.,EQ,10-JUL-1996,10,1,INE058B01018,10
ZENITHINFO,Zenith Infotech Ltd.,EQ,09-FEB-2000,10,1,INE899A01017,10
ZENSARTECH,Zensar Technologies Limited,EQ,09-JUL-2003,10,1,INE520A01019,10
ZICOM,Zicom Electronic Security Systems Limited,EQ,18-APR-2006,10,1,INE871B01014,10
ZODIACLOTH,Zodiac Clothing Company Ltd,EQ,27-SEP-1995,10,1,INE206B01013,10
ZODJRDMKJ,Zodiac JRD- MKJ Ltd,EQ,19-JUL-1995,10,1,INE077B01018,10
ZUARIAGRO,Zuari Industries Ltd.,EQ,12-APR-1995,10,1,INE217A01012,10
ZYLOG,Zylog Systems Limited,EQ,17-AUG-2007,10,1,INE225I01018,10
